"probes"	"genes"
"A_44_P792409"	"Nothing"
"A_44_P792446"	"Scube1"
"A_44_P792456"	"Nothing"
"A_44_P792470"	"RGD1563482"
"A_44_P792481"	"Mcts2"
"A_44_P792495"	"Nothing"
"A_44_P792507"	"Nothing"
"A_44_P792531"	"Fbxl12"
"A_44_P792546"	"Nothing"
"A_44_P792560"	"Nothing"
"A_44_P792577"	"Nothing"
"A_44_P792621"	"Tmem63a"
"A_44_P792628"	"RGD1311267"
"A_44_P792633"	"RGD1311267"
"A_44_P792646"	"Nothing"
"A_44_P792653"	"Nothing"
"A_44_P792703"	"Nothing"
"A_44_P792746"	"Nothing"
"A_44_P792784"	"Htr2c"
"A_44_P792797"	"Nothing"
"A_44_P792811"	"Ybey"
"A_44_P792845"	"Runx3"
"A_44_P792938"	"LOC100366231"
"A_44_P793008"	"Nothing"
"A_44_P793098"	"Nothing"
"A_44_P793109"	"Nothing"
"A_44_P793124"	"Nothing"
"A_44_P793157"	"Nothing"
"A_44_P793224"	"Nothing"
"A_44_P793279"	"Nothing"
"A_44_P793297"	"Nothing"
"A_44_P793308"	"Nothing"
"A_44_P793322"	"Nothing"
"A_44_P793372"	"LOC100125361"
"A_44_P793461"	"Nothing"
"A_44_P793469"	"Nothing"
"A_44_P793532"	"Nothing"
"A_44_P793538"	"Nothing"
"A_44_P793551"	"Lin28a"
"A_44_P793558"	"Nothing"
"A_44_P793581"	"Nothing"
"A_44_P793591"	"LOC679357"
"A_44_P793620"	"Nothing"
"A_44_P793666"	"Nothing"
"A_44_P793670"	"Nothing"
"A_44_P793692"	"Dtx3l"
"A_44_P793731"	"Cfdp1"
"A_44_P793787"	"Nothing"
"A_44_P793873"	"Sema5a"
"A_44_P793901"	"Nothing"
"A_44_P793922"	"Cacna1a"
"A_44_P793931"	"Nothing"
"A_44_P794097"	"Nothing"
"A_44_P794108"	"Nothing"
"A_44_P794163"	"Nothing"
"A_44_P794261"	"Nothing"
"A_44_P794304"	"Nothing"
"A_44_P794334"	"Nothing"
"A_44_P794364"	"Nothing"
"A_44_P794371"	"Nothing"
"A_44_P794416"	"Nothing"
"A_44_P794476"	"Nothing"
"A_44_P794508"	"Nothing"
"A_44_P794522"	"Nothing"
"A_44_P794536"	"Nothing"
"A_44_P794598"	"Hnrnpa3"
"A_44_P794608"	"Nothing"
"A_44_P794669"	"Mllt4"
"A_44_P794680"	"Nothing"
"A_44_P794762"	"LOC682812"
"A_44_P794770"	"Trak2"
"A_44_P794875"	"Nothing"
"A_44_P794913"	"RGD1563405"
"A_44_P794977"	"Nothing"
"A_44_P795015"	"Nothing"
"A_44_P795213"	"Nothing"
"A_44_P795327"	"Nothing"
"A_44_P795512"	"Nothing"
"A_44_P795878"	"Nothing"
"A_44_P795940"	"Nothing"
"A_44_P796146"	"Nothing"
"A_44_P796303"	"Nothing"
"A_44_P796469"	"Nothing"
"A_44_P796513"	"Nothing"
"A_44_P796548"	"Nothing"
"A_44_P796641"	"Nothing"
"A_44_P796680"	"Nothing"
"A_44_P796993"	"Nothing"
"A_44_P797077"	"Nothing"
"A_44_P797125"	"Nothing"
"A_44_P797239"	"Nothing"
"A_44_P797293"	"Nothing"
"A_44_P797354"	"Nothing"
"A_44_P797405"	"Nothing"
"A_44_P797427"	"Nothing"
"A_44_P797443"	"Nothing"
"A_44_P797549"	"Nothing"
"A_44_P797611"	"Nothing"
"A_44_P797721"	"Nothing"
"A_44_P797880"	"Nothing"
"A_44_P797917"	"Nothing"
"A_44_P797926"	"Plcxd2"
"A_44_P798023"	"Treml1"
"A_44_P798035"	"Nothing"
"A_44_P798079"	"Nothing"
"A_44_P798113"	"Nothing"
"A_44_P798116"	"Nothing"
"A_44_P798337"	"Nothing"
"A_44_P798344"	"Nothing"
"A_44_P798610"	"Nothing"
"A_44_P798772"	"Nothing"
"A_44_P798851"	"Nothing"
"A_44_P798959"	"Rpl21"
"A_44_P798989"	"Nothing"
"A_44_P799008"	"Nothing"
"A_44_P799106"	"Nothing"
"A_44_P799143"	"Nothing"
"A_44_P799251"	"Nothing"
"A_44_P799393"	"Nothing"
"A_44_P799454"	"Nothing"
"A_44_P799470"	"Nothing"
"A_44_P799807"	"Nothing"
"A_44_P800492"	"Nothing"
"A_44_P800548"	"Nothing"
"A_44_P800685"	"Nothing"
"A_44_P800970"	"LOC498664"
"A_44_P801044"	"LOC501194"
"A_44_P801407"	"Icoslg"
"A_44_P801516"	"Nothing"
"A_44_P801562"	"Nothing"
"A_44_P801711"	"Nothing"
"A_44_P801714"	"Alg13"
"A_44_P801735"	"Nothing"
"A_44_P801977"	"Nothing"
"A_44_P802097"	"Nothing"
"A_44_P802347"	"Nothing"
"A_44_P802466"	"Nothing"
"A_44_P802495"	"Apbb2"
"A_44_P802511"	"RGD1566319"
"A_44_P802638"	"Nothing"
"A_44_P802672"	"Nothing"
"A_44_P802937"	"Nothing"
"A_44_P803025"	"Nothing"
"A_44_P803038"	"Nothing"
"A_44_P803088"	"Nothing"
"A_44_P803129"	"Nothing"
"A_44_P803194"	"Nothing"
"A_44_P803282"	"Nothing"
"A_44_P803398"	"Tmem127"
"A_44_P803475"	"Nothing"
"A_44_P803484"	"Nothing"
"A_44_P803492"	"Nothing"
"A_44_P803553"	"Nothing"
"A_44_P803631"	"Nothing"
"A_44_P803684"	"Tmem212"
"A_44_P803793"	"Nothing"
"A_44_P803813"	"Nothing"
"A_44_P803822"	"Nothing"
"A_44_P803846"	"Nothing"
"A_44_P803912"	"Nothing"
"A_44_P803922"	"Nothing"
"A_44_P803941"	"Vstm4"
"A_44_P803958"	"Nothing"
"A_44_P804042"	"Nothing"
"A_44_P804051"	"LOC100294508"
"A_44_P804088"	"Nothing"
"A_44_P804200"	"Atg16l1"
"A_44_P804214"	"Nothing"
"A_44_P804257"	"Nothing"
"A_44_P804315"	"Nothing"
"A_44_P804439"	"Nothing"
"A_44_P804447"	"Nothing"
"A_44_P804460"	"Nothing"
"A_44_P804653"	"Nothing"
"A_44_P804740"	"Cdca4"
"A_44_P804806"	"Nothing"
"A_44_P805040"	"Ppfibp2"
"A_44_P805073"	"Nothing"
"A_44_P805210"	"Ssh3"
"A_44_P805242"	"Nothing"
"A_44_P805352"	"Nothing"
"A_44_P805357"	"Ncln"
"A_44_P805574"	"Nothing"
"A_44_P805617"	"Nothing"
"A_44_P805841"	"Nothing"
"A_44_P805851"	"Nothing"
"A_44_P805862"	"LOC499746"
"A_44_P805899"	"Nothing"
"A_44_P805961"	"Nothing"
"A_44_P806023"	"Nothing"
"A_44_P806040"	"Tlk2"
"A_44_P806046"	"Nothing"
"A_44_P806061"	"Nothing"
"A_44_P806069"	"Nothing"
"A_44_P806145"	"Nothing"
"A_44_P806154"	"Nothing"
"A_44_P806211"	"Cln8"
"A_44_P806236"	"Nothing"
"A_44_P806247"	"Nothing"
"A_44_P806269"	"LOC680913"
"A_44_P806297"	"Nothing"
"A_44_P806349"	"LOC499754"
"A_44_P806369"	"Nothing"
"A_44_P806406"	"Vwde"
"A_44_P806474"	"Figla"
"A_44_P806521"	"LOC500392"
"A_44_P806532"	"Dnai1"
"A_44_P806560"	"Nothing"
"A_44_P806572"	"Nothing"
"A_44_P806582"	"Nothing"
"A_44_P806641"	"Nothing"
"A_44_P806646"	"Zfp609"
"A_44_P806655"	"Dalrd3"
"A_44_P806690"	"Mreg"
"A_44_P806699"	"St8sia4"
"A_44_P806703"	"Nothing"
"A_44_P806713"	"Nothing"
"A_44_P806758"	"Nothing"
"A_44_P806769"	"LOC689396"
"A_44_P806792"	"Nothing"
"A_44_P806809"	"Sh3bgrl"
"A_44_P806840"	"Apol3"
"A_44_P806854"	"Nothing"
"A_44_P806862"	"Zfand3"
"A_44_P806889"	"Nothing"
"A_44_P806901"	"Nothing"
"A_44_P806917"	"Nothing"
"A_44_P806961"	"Nothing"
"A_44_P807031"	"Tbc1d10b"
"A_44_P807034"	"LOC683751"
"A_44_P807058"	"Emp1"
"A_44_P807091"	"Cd2bp2"
"A_44_P807109"	"Nothing"
"A_44_P807146"	"Nothing"
"A_44_P807184"	"Nothing"
"A_44_P807238"	"Mcat"
"A_44_P807259"	"Nothing"
"A_44_P807294"	"Cyb561d1"
"A_44_P807296"	"Nothing"
"A_44_P807329"	"Nothing"
"A_44_P807338"	"Cog3"
"A_44_P807363"	"Nothing"
"A_44_P807394"	"Nothing"
"A_44_P807408"	"Ctdspl"
"A_44_P807424"	"Nothing"
"A_44_P807437"	"Acrbp"
"A_44_P807448"	"Nothing"
"A_44_P807536"	"Nothing"
"A_44_P807545"	"Nothing"
"A_44_P807557"	"Nothing"
"A_44_P807565"	"Nothing"
"A_44_P807585"	"Nothing"
"A_44_P807628"	"Gpatc2"
"A_44_P807649"	"Nothing"
"A_44_P807660"	"Rcor1"
"A_44_P807669"	"Nothing"
"A_44_P807696"	"Nothing"
"A_44_P807734"	"Nothing"
"A_44_P807777"	"E2f1"
"A_44_P807849"	"Rap1a"
"A_44_P807861"	"Six4"
"A_44_P807879"	"Esrp1"
"A_44_P807901"	"Nothing"
"A_44_P807917"	"Nothing"
"A_44_P807934"	"Nothing"
"A_44_P807940"	"Nothing"
"A_44_P807956"	"Nothing"
"A_44_P807990"	"Polr3f"
"A_44_P807993"	"Nothing"
"A_44_P808007"	"Nothing"
"A_44_P808013"	"Nothing"
"A_44_P808019"	"Nothing"
"A_44_P808046"	"Nothing"
"A_44_P808057"	"Lrrc8a"
"A_44_P808072"	"Tgs1"
"A_44_P808106"	"Nothing"
"A_44_P808129"	"Nothing"
"A_44_P808142"	"Nothing"
"A_44_P808150"	"Nothing"
"A_44_P808189"	"Nothing"
"A_44_P808204"	"Nothing"
"A_44_P808218"	"Nothing"
"A_44_P808244"	"Nothing"
"A_44_P808264"	"Nothing"
"A_44_P808277"	"Ptk7"
"A_44_P808295"	"Nothing"
"A_44_P808310"	"Asb3"
"A_44_P808324"	"Nothing"
"A_44_P808337"	"Nothing"
"A_44_P808341"	"Zfp580"
"A_44_P808350"	"Nothing"
"A_44_P808383"	"Nothing"
"A_44_P808407"	"Nothing"
"A_44_P808420"	"Nothing"
"A_44_P808443"	"LOC683460"
"A_44_P808451"	"Nothing"
"A_44_P808457"	"Nothing"
"A_44_P808472"	"Nothing"
"A_44_P808496"	"Fam188b"
"A_44_P808528"	"Nothing"
"A_44_P808544"	"Gpr61"
"A_44_P808557"	"Nothing"
"A_44_P808566"	"Nothing"
"A_44_P808578"	"Nothing"
"A_44_P808602"	"Nothing"
"A_44_P808635"	"Nothing"
"A_44_P808666"	"Wt1"
"A_44_P808679"	"Nothing"
"A_44_P808710"	"LOC684158"
"A_44_P808724"	"Nothing"
"A_44_P808732"	"LOC687346"
"A_44_P808769"	"Clcn4-2"
"A_44_P808807"	"Lrrc23"
"A_44_P808814"	"Dmrta2"
"A_44_P808845"	"Nothing"
"A_44_P808918"	"Nothing"
"A_44_P808922"	"Nothing"
"A_44_P808962"	"Nothing"
"A_44_P808972"	"Nothing"
"A_44_P809032"	"RGD1566001"
"A_44_P809056"	"Nothing"
"A_44_P809098"	"Nothing"
"A_44_P809141"	"Nothing"
"A_44_P809165"	"Nothing"
"A_44_P809174"	"Nothing"
"A_44_P809189"	"Serac1"
"A_44_P809199"	"Nothing"
"A_44_P809228"	"Nothing"
"A_44_P809279"	"Ptplad2"
"A_44_P809374"	"Clcf1"
"A_44_P809389"	"Nothing"
"A_44_P809451"	"Nothing"
"A_44_P809486"	"LOC100366230"
"A_44_P809514"	"Nothing"
"A_44_P809536"	"Slc39a14"
"A_44_P809642"	"Nothing"
"A_44_P809685"	"Nothing"
"A_44_P809720"	"Nothing"
"A_44_P809777"	"Nothing"
"A_44_P809794"	"Nothing"
"A_44_P809836"	"Nothing"
"A_44_P809843"	"Nothing"
"A_44_P809901"	"Nothing"
"A_44_P809953"	"Nothing"
"A_44_P809962"	"Nothing"
"A_44_P809972"	"Nothing"
"A_44_P809996"	"Nothing"
"A_44_P810009"	"Nothing"
"A_44_P810032"	"Nothing"
"A_44_P810115"	"LOC100363005"
"A_44_P810132"	"Tuba3a"
"A_44_P810151"	"Nothing"
"A_44_P810179"	"Acd"
"A_44_P810190"	"LOC686980"
"A_44_P810267"	"H1fnt"
"A_44_P810365"	"Nothing"
"A_44_P810504"	"Nothing"
"A_44_P810573"	"Nothing"
"A_44_P810585"	"Nothing"
"A_44_P810605"	"Nothing"
"A_44_P810617"	"Nothing"
"A_44_P810851"	"Grhl2"
"A_44_P810883"	"Nothing"
"A_44_P811606"	"Ripk2"
"A_44_P811716"	"Nothing"
"A_44_P811862"	"Nothing"
"A_44_P811872"	"Nothing"
"A_44_P811924"	"Nothing"
"A_44_P812352"	"Nothing"
"A_44_P812382"	"LOC100364718"
"A_44_P812456"	"Nothing"
"A_44_P812604"	"Nothing"
"A_44_P812625"	"Nothing"
"A_44_P812632"	"Nothing"
"A_44_P812665"	"Mypn"
"A_44_P812699"	"Nothing"
"A_44_P812772"	"Nothing"
"A_44_P812776"	"Nothing"
"A_44_P813031"	"Nothing"
"A_44_P813059"	"Nothing"
"A_44_P813150"	"Nothing"
"A_44_P813198"	"Nothing"
"A_44_P813443"	"Nothing"
"A_44_P813453"	"Mau2"
"A_44_P813707"	"Nothing"
"A_44_P813844"	"Nothing"
"A_44_P813903"	"Nothing"
"A_44_P814074"	"Nothing"
"A_44_P814369"	"Nothing"
"A_44_P814374"	"Nothing"
"A_44_P814386"	"Nothing"
"A_44_P814538"	"Uba6"
"A_44_P814633"	"Nothing"
"A_44_P814711"	"Nothing"
"A_44_P814740"	"LOC687399"
"A_44_P814913"	"Nothing"
"A_44_P815210"	"Nothing"
"A_44_P815267"	"Nothing"
"A_44_P815555"	"Nothing"
"A_44_P815724"	"Nothing"
"A_44_P816426"	"LOC498350"
"A_44_P816448"	"Nothing"
"A_44_P816514"	"Nothing"
"A_44_P816687"	"Nothing"
"A_44_P816824"	"Nothing"
"A_44_P817017"	"Nothing"
"A_44_P817108"	"Nothing"
"A_44_P817120"	"Nothing"
"A_44_P817426"	"Nothing"
"A_44_P817539"	"Caprin1"
"A_44_P817603"	"Nothing"
"A_44_P817685"	"Nothing"
"A_44_P817696"	"Echdc1"
"A_44_P817760"	"LOC679462"
"A_44_P817849"	"Rbms3"
"A_44_P818459"	"Nothing"
"A_44_P818552"	"Nothing"
"A_44_P818668"	"Nothing"
"A_44_P818671"	"Nothing"
"A_44_P818956"	"Fbxl14"
"A_44_P819169"	"Nothing"
"A_44_P819186"	"Nothing"
"A_44_P819221"	"Nothing"
"A_44_P819359"	"Nothing"
"A_44_P819390"	"Nothing"
"A_44_P819401"	"Slc40a1"
"A_44_P819551"	"Nothing"
"A_44_P819592"	"Nothing"
"A_44_P819648"	"Cmtm3"
"A_44_P819719"	"Nothing"
"A_44_P819726"	"Aqp4"
"A_44_P819834"	"Fkrp"
"A_44_P819884"	"Nothing"
"A_44_P819950"	"Nothing"
"A_44_P819992"	"Nothing"
"A_44_P820062"	"Aif1l"
"A_44_P820083"	"Nothing"
"A_44_P820148"	"Nothing"
"A_44_P820184"	"Nothing"
"A_44_P820225"	"Nothing"
"A_44_P820401"	"Nothing"
"A_44_P820421"	"Nothing"
"A_44_P820465"	"Nothing"
"A_44_P820468"	"Nothing"
"A_44_P820495"	"Nothing"
"A_44_P820573"	"Hs1bp3"
"A_44_P820605"	"Nothing"
"A_44_P820706"	"Nothing"
"A_44_P820780"	"Nothing"
"A_44_P820879"	"Nothing"
"A_44_P820923"	"Nothing"
"A_44_P820981"	"Nothing"
"A_44_P821104"	"Nothing"
"A_44_P821236"	"Tmem225"
"A_44_P821368"	"RGD1560958"
"A_44_P821374"	"Dpp3"
"A_44_P821386"	"Nothing"
"A_44_P821396"	"Tm9sf3"
"A_44_P821402"	"Nothing"
"A_44_P821412"	"Efcab9"
"A_44_P821444"	"Csnka2ip"
"A_44_P821475"	"RGD1563425"
"A_44_P821513"	"Nothing"
"A_44_P821528"	"Nothing"
"A_44_P821544"	"Ccdc157"
"A_44_P821587"	"Nothing"
"A_44_P821599"	"Nothing"
"A_44_P821613"	"Nothing"
"A_44_P821676"	"LOC499602"
"A_44_P821699"	"LOC499719"
"A_44_P821710"	"Nothing"
"A_44_P821738"	"Nothing"
"A_44_P821748"	"RGD1565616"
"A_44_P821773"	"RGD1561934"
"A_44_P821788"	"Nothing"
"A_44_P821792"	"Nothing"
"A_44_P821805"	"Nothing"
"A_44_P821829"	"Nothing"
"A_44_P821839"	"Nothing"
"A_44_P821841"	"Nothing"
"A_44_P821851"	"Nothing"
"A_44_P821875"	"Ly49i7"
"A_44_P821943"	"Nothing"
"A_44_P821956"	"Nothing"
"A_44_P821966"	"LOC500684"
"A_44_P821972"	"Nothing"
"A_44_P822041"	"Nothing"
"A_44_P822051"	"Nothing"
"A_44_P822061"	"Nothing"
"A_44_P822078"	"LOC501422"
"A_44_P822082"	"Oaz2"
"A_44_P822100"	"Nothing"
"A_44_P822121"	"RGD1562351"
"A_44_P822160"	"Nothing"
"A_44_P822204"	"Nothing"
"A_44_P822283"	"Sort1"
"A_44_P822333"	"Nothing"
"A_44_P822364"	"Nothing"
"A_44_P822396"	"Kdm2a"
"A_44_P822414"	"Sike1"
"A_44_P822447"	"Ctla2a"
"A_44_P822464"	"Nothing"
"A_44_P822557"	"LOC685385"
"A_44_P822572"	"Dcun1d4"
"A_44_P822616"	"Ep300"
"A_44_P822749"	"Nothing"
"A_44_P822769"	"Nothing"
"A_44_P822789"	"Nothing"
"A_44_P822839"	"Nothing"
"A_44_P822852"	"LOC686393"
"A_44_P822908"	"Nothing"
"A_44_P822920"	"Nothing"
"A_44_P822928"	"Nothing"
"A_44_P822943"	"Nothing"
"A_44_P822950"	"Nothing"
"A_44_P822989"	"Rab11fip1"
"A_44_P823025"	"Sephs1"
"A_44_P823063"	"Nothing"
"A_44_P823094"	"Nothing"
"A_44_P823114"	"Nothing"
"A_44_P823127"	"LOC680045"
"A_44_P823194"	"Nothing"
"A_44_P823212"	"Nothing"
"A_44_P823241"	"Nothing"
"A_44_P823250"	"Nothing"
"A_44_P823265"	"Nothing"
"A_44_P823303"	"Fmn1"
"A_44_P823317"	"Nothing"
"A_44_P823383"	"Nothing"
"A_44_P823437"	"Nothing"
"A_44_P823461"	"Nothing"
"A_44_P823528"	"Nothing"
"A_44_P823554"	"Crtc3"
"A_44_P823561"	"Nothing"
"A_44_P823568"	"Nothing"
"A_44_P823576"	"Nothing"
"A_44_P823597"	"Akap7"
"A_44_P823606"	"Nothing"
"A_44_P823633"	"Nothing"
"A_44_P823666"	"Nothing"
"A_44_P823682"	"Nothing"
"A_44_P823711"	"Nothing"
"A_44_P823729"	"Nothing"
"A_44_P823749"	"Scn5a"
"A_44_P823790"	"Nothing"
"A_44_P823844"	"Nothing"
"A_44_P823878"	"Nothing"
"A_44_P823916"	"Nothing"
"A_44_P823938"	"Nothing"
"A_44_P823957"	"Nothing"
"A_44_P823970"	"Nothing"
"A_44_P824001"	"Nothing"
"A_44_P824014"	"Nothing"
"A_44_P824023"	"Nothing"
"A_44_P824032"	"Nup160"
"A_44_P824046"	"Nothing"
"A_44_P824102"	"LOC100364115"
"A_44_P824143"	"Nothing"
"A_44_P824202"	"Nothing"
"A_44_P824215"	"Nothing"
"A_44_P824241"	"Cpsf6"
"A_44_P824273"	"Nothing"
"A_44_P824280"	"Zcchc3"
"A_44_P824294"	"Nothing"
"A_44_P824369"	"Nothing"
"A_44_P824386"	"Nothing"
"A_44_P824441"	"Nothing"
"A_44_P824467"	"Nothing"
"A_44_P824475"	"Zfp90"
"A_44_P824489"	"Nothing"
"A_44_P824534"	"Nothing"
"A_44_P824580"	"Nothing"
"A_44_P824585"	"Nothing"
"A_44_P824642"	"Nothing"
"A_44_P824666"	"Nothing"
"A_44_P824698"	"Nothing"
"A_44_P824706"	"Nothing"
"A_44_P824731"	"Nothing"
"A_44_P824812"	"Nothing"
"A_44_P824844"	"Nothing"
"A_44_P824847"	"Nothing"
"A_44_P824935"	"Nothing"
"A_44_P824955"	"Nothing"
"A_44_P825005"	"Nothing"
"A_44_P825084"	"Nothing"
"A_44_P825102"	"Nothing"
"A_44_P825142"	"Nothing"
"A_44_P825179"	"Nothing"
"A_44_P825195"	"Trove2"
"A_44_P825266"	"Nothing"
"A_44_P825282"	"Nothing"
"A_44_P825311"	"Nothing"
"A_44_P825376"	"Nothing"
"A_44_P825454"	"Nothing"
"A_44_P825523"	"Smurf2"
"A_44_P825542"	"Ccdc91"
"A_44_P825558"	"Ranbp10"
"A_44_P825566"	"Tubb4a"
"A_44_P825629"	"Nothing"
"A_44_P825644"	"Nothing"
"A_44_P825694"	"Nothing"
"A_44_P825726"	"Nothing"
"A_44_P825753"	"Nothing"
"A_44_P825771"	"Nothing"
"A_44_P825985"	"Nothing"
"A_44_P825997"	"Nothing"
"A_44_P826201"	"Nothing"
"A_44_P826298"	"Nothing"
"A_44_P826338"	"Nothing"
"A_44_P826429"	"Nothing"
"A_44_P826605"	"Nothing"
"A_44_P826742"	"Nothing"
"A_44_P827099"	"Nothing"
"A_44_P827202"	"Nothing"
"A_44_P827421"	"Otud3"
"A_44_P827555"	"Nothing"
"A_44_P827706"	"Nothing"
"A_44_P827752"	"Nothing"
"A_44_P827767"	"Nothing"
"A_44_P827872"	"Nothing"
"A_44_P827889"	"Nothing"
"A_44_P827919"	"Nothing"
"A_44_P827926"	"Mex3c"
"A_44_P827949"	"Nothing"
"A_44_P827968"	"Nothing"
"A_44_P828123"	"Nothing"
"A_44_P828142"	"Il7r"
"A_44_P828260"	"Nothing"
"A_44_P828337"	"Nothing"
"A_44_P828432"	"Nothing"
"A_44_P828553"	"Nothing"
"A_44_P828591"	"Camp"
"A_44_P828772"	"Nothing"
"A_44_P828792"	"Nothing"
"A_44_P828870"	"Nothing"
"A_44_P828941"	"Nothing"
"A_44_P828963"	"Sit1"
"A_44_P829047"	"Nothing"
"A_44_P829139"	"Nothing"
"A_44_P829145"	"Plcxd2"
"A_44_P829164"	"Nothing"
"A_44_P829197"	"Nothing"
"A_44_P829216"	"Nothing"
"A_44_P829715"	"Nothing"
"A_44_P829762"	"Nothing"
"A_44_P829779"	"Nothing"
"A_44_P829841"	"Pofut2"
"A_44_P829876"	"Nothing"
"A_44_P829888"	"Fam107b"
"A_44_P830024"	"Nothing"
"A_44_P830042"	"Nothing"
"A_44_P830105"	"Nothing"
"A_44_P830117"	"Nothing"
"A_44_P830155"	"Rgs17"
"A_44_P830170"	"Nothing"
"A_44_P830181"	"Nothing"
"A_44_P831218"	"Nothing"
"A_44_P831282"	"Prmt2"
"A_44_P831621"	"Nothing"
"A_44_P831631"	"RGD1562161"
"A_44_P831689"	"Nothing"
"A_44_P831702"	"Nothing"
"A_44_P831721"	"Nothing"
"A_44_P831755"	"LOC500825"
"A_44_P832019"	"Phf11l"
"A_44_P832194"	"Nothing"
"A_44_P832271"	"Nothing"
"A_44_P832287"	"Nothing"
"A_44_P832400"	"Nothing"
"A_44_P832441"	"Nothing"
"A_44_P832517"	"Nothing"
"A_44_P832538"	"Nothing"
"A_44_P832655"	"LOC687118"
"A_44_P832686"	"Nothing"
"A_44_P832837"	"Nothing"
"A_44_P832941"	"Nothing"
"A_44_P833199"	"Nothing"
"A_44_P833249"	"Nothing"
"A_44_P833469"	"Nothing"
"A_44_P833595"	"Nothing"
"A_44_P833626"	"Pls3"
"A_44_P833647"	"Nothing"
"A_44_P833772"	"LOC685179"
"A_44_P833796"	"Ksr1"
"A_44_P833822"	"Nothing"
"A_44_P833892"	"Nothing"
"A_44_P834064"	"Nothing"
"A_44_P834081"	"Nothing"
"A_44_P834226"	"Nothing"
"A_44_P834269"	"LOC100363853"
"A_44_P834317"	"Nothing"
"A_44_P834352"	"Nothing"
"A_44_P834393"	"Ube2d1"
"A_44_P834467"	"Nothing"
"A_44_P834642"	"Nothing"
"A_44_P834734"	"Nothing"
"A_44_P834809"	"Nothing"
"A_44_P834837"	"Nothing"
"A_44_P834922"	"Nothing"
"A_44_P834980"	"Tollip"
"A_44_P834990"	"Nothing"
"A_44_P835198"	"Nothing"
"A_44_P835214"	"Klhl24"
"A_44_P835235"	"Nothing"
"A_44_P835425"	"Nothing"
"A_44_P835618"	"Nothing"
"A_44_P835631"	"Nothing"
"A_44_P835675"	"Nothing"
"A_44_P835758"	"Srpr"
"A_44_P835769"	"Nothing"
"A_44_P835847"	"C1qtnf3"
"A_44_P835867"	"Nothing"
"A_44_P835875"	"Nothing"
"A_44_P835883"	"Nothing"
"A_44_P836100"	"Stfa3"
"A_44_P836120"	"LOC684193"
"A_44_P836253"	"Nothing"
"A_44_P836445"	"Aph1a"
"A_44_P836528"	"Nothing"
"A_44_P836576"	"Ptk2"
"A_44_P836591"	"Nothing"
"A_44_P836677"	"Fau"
"A_44_P836678"	"Nothing"
"A_44_P836723"	"Nothing"
"A_44_P836742"	"Tmem102"
"A_44_P836767"	"Nothing"
"A_44_P836794"	"Ccdc54"
"A_44_P836799"	"Nothing"
"A_44_P836806"	"Nothing"
"A_44_P836859"	"Nothing"
"A_44_P836866"	"Nothing"
"A_44_P836881"	"LOC100361197"
"A_44_P836900"	"Nothing"
"A_44_P836923"	"Nothing"
"A_44_P836925"	"Nothing"
"A_44_P836950"	"Nothing"
"A_44_P836979"	"RGD1560685"
"A_44_P837006"	"Nothing"
"A_44_P837015"	"Nothing"
"A_44_P837036"	"Nothing"
"A_44_P837056"	"Nothing"
"A_44_P837067"	"Nothing"
"A_44_P837070"	"Nothing"
"A_44_P837093"	"RGD1308023"
"A_44_P837128"	"Zfp800"
"A_44_P837142"	"Ttc26"
"A_44_P837192"	"Uroc1"
"A_44_P837196"	"Nothing"
"A_44_P837219"	"Gucy2c"
"A_44_P837227"	"LOC687994"
"A_44_P837237"	"Nothing"
"A_44_P837263"	"Nothing"
"A_44_P837271"	"LOC100363455"
"A_44_P837276"	"LOC690206"
"A_44_P837289"	"RGD1565622"
"A_44_P837298"	"Nothing"
"A_44_P837344"	"LOC691979"
"A_44_P837382"	"Treml1"
"A_44_P837483"	"Nothing"
"A_44_P837503"	"Nothing"
"A_44_P837519"	"Nothing"
"A_44_P837538"	"Nothing"
"A_44_P837560"	"Nothing"
"A_44_P837569"	"Atp8b2"
"A_44_P837580"	"Nothing"
"A_44_P837602"	"Nothing"
"A_44_P837619"	"Nothing"
"A_44_P837644"	"Nothing"
"A_44_P837669"	"Abce1"
"A_44_P837709"	"Nothing"
"A_44_P837716"	"Ggta1p"
"A_44_P837740"	"Asb6"
"A_44_P837751"	"Nothing"
"A_44_P837764"	"Nothing"
"A_44_P837782"	"Nothing"
"A_44_P837792"	"Ankrd23"
"A_44_P837824"	"Nothing"
"A_44_P837846"	"Nothing"
"A_44_P837888"	"Acpl2"
"A_44_P837908"	"Nothing"
"A_44_P837935"	"Ank1"
"A_44_P837980"	"Nothing"
"A_44_P838002"	"Nothing"
"A_44_P838021"	"Nothing"
"A_44_P838096"	"Rsbn1"
"A_44_P838130"	"Nothing"
"A_44_P838138"	"Lysmd1"
"A_44_P838165"	"Exoc6b"
"A_44_P838184"	"Fn3krp"
"A_44_P838277"	"Nothing"
"A_44_P838313"	"Nothing"
"A_44_P838331"	"Nothing"
"A_44_P838339"	"LOC686774"
"A_44_P838355"	"Cldn2"
"A_44_P838368"	"LOC686774"
"A_44_P838429"	"Nothing"
"A_44_P838436"	"Nothing"
"A_44_P838483"	"Nothing"
"A_44_P838490"	"Rgr"
"A_44_P838532"	"Rnft2"
"A_44_P838573"	"Nothing"
"A_44_P838583"	"Psrc1"
"A_44_P838603"	"Nothing"
"A_44_P838611"	"Nothing"
"A_44_P838657"	"Nothing"
"A_44_P838681"	"Nothing"
"A_44_P838725"	"Nothing"
