SPECIES	QUERY	SYMBOL
human	PCBP2	PCBP2
mouse	PCBP2	Pcbp2
rat	PCBP2	Pcbp2
mouse	JARID1A	Kdm5a
rat	JARID1A	Kdm5a
human	LAIR2	LAIR2
human	PSORS1C1	PSORS1C1
human	IFI30	IFI30
mouse	IFI30	Ifi30
rat	IFI30	Ifi30
human	GPR172A	SLC52A2
rat	GPR172A	Slc52a2
human	C6ORF129	CCDC167
mouse	AHSA2	Ahsa2
rat	AHSA2	Ahsa2
human	AHSA2	AHSA2P
human	HSPC171	TMEM208
mouse	HSPC171	Tmem208
rat	HSPC171	Tmem208
human	TPT1	TPT1
mouse	TPT1	Tpt1
rat	TPT1	Tpt1
mouse	TPT1	Trpt1
human	C3ORF62	C3orf62
rat	ZFP161	Zfp161
human	ZFP161	ZBTB14
mouse	ZFP161	Zbtb14
mouse	MRE11A	Mre11a
rat	MRE11A	Mre11a
human	MRE11A	MRE11
human	PDIA3P	PDIA3P1
human	FAM82A2	RMDN3
mouse	FAM82A2	Rmdn3
rat	FAM82A2	Rmdn3
human	THEM2	ACOT13
mouse	THEM2	Acot13
rat	THEM2	Acot13
human	LOC401218	LOC401218
human	C20ORF197	C20orf197
mouse	ZNF271	Zfp35
human	ZNF271	ZNF271P
human	ZSCAN5A	ZSCAN5A
human	TCEB1	ELOC
mouse	TCEB1	Eloc
rat	TCEB1	Eloc
human	PTPLA	HACD1
mouse	PTPLA	Hacd1
rat	PTPLA	Hacd1
human	SPG3A	ATL1
mouse	SPG3A	Atl1
rat	SPG3A	Atl1
human	B3GALTL	B3GLCT
mouse	B3GALTL	B3glct
rat	B3GALTL	B3glct
human	KLHDC5	KLHL42
mouse	KLHDC5	Klhl42
rat	KLHDC5	Klhl42
human	C19ORF28	MFSD12
mouse	C19ORF28	Mfsd12
human	HES4	HES4
human	PRKCB1	PRKCB
mouse	PRKCB1	Prkcb
rat	PRKCB1	Prkcb
human	PPAP2B	PLPP3
mouse	PPAP2B	Plpp3
